tile_index,ra,dec
102021987,63.050005,-47.5
102021987,63.050005,-47.5
102021987,63.050005,-47.5
102021987,63.050005,-47.5
102021988,63.7831446,-47.5
102021988,63.7831446,-47.5
102021988,63.7831446,-47.5
102021988,63.7831446,-47.5
102021989,64.5162842,-47.5
102021989,64.5162842,-47.5
102021989,64.5162842,-47.5
102021989,64.5162842,-47.5
102021990,65.2494238,-47.5
102021990,65.2494238,-47.5
102021990,65.2494238,-47.5
102021990,65.2494238,-47.5
102021991,65.9825634,-47.5
102021991,65.9825634,-47.5
102021991,65.9825634,-47.5
102021991,65.9825634,-47.5
102021992,66.7157029,-47.5
102021992,66.7157029,-47.5
102021992,66.7157029,-47.5
102021992,66.7157029,-47.5
102022474,58.8359567,-47.0
102022474,58.8359567,-47.0
102022474,58.8359567,-47.0
102022474,58.8359567,-47.0
102022475,59.5623265,-47.0
102022475,59.5623265,-47.0
102022475,59.5623265,-47.0
102022475,59.5623265,-47.0
102022476,60.2886964,-47.0
102022476,60.2886964,-47.0
102022476,60.2886964,-47.0
102022476,60.2886964,-47.0
102022477,61.0150662,-47.0
102022477,61.0150662,-47.0
102022477,61.0150662,-47.0
102022477,61.0150662,-47.0
102022478,61.741436,-47.0
102022478,61.741436,-47.0
102022478,61.741436,-47.0
102022478,61.741436,-47.0
102022479,62.4678059,-47.0
102022479,62.4678059,-47.0
102022479,62.4678059,-47.0
102022479,62.4678059,-47.0
102022480,63.1941757,-47.0
102022480,63.1941757,-47.0
102022480,63.1941757,-47.0
102022480,63.1941757,-47.0
102022481,63.9205455,-47.0
102022481,63.9205455,-47.0
102022481,63.9205455,-47.0
102022481,63.9205455,-47.0
102022482,64.6469154,-47.0
102022482,64.6469154,-47.0
102022482,64.6469154,-47.0
102022482,64.6469154,-47.0
102022483,65.3732852,-47.0
102022483,65.3732852,-47.0
102022483,65.3732852,-47.0
102022483,65.3732852,-47.0
102022484,66.099655,-47.0
102022484,66.099655,-47.0
102022484,66.099655,-47.0
102022484,66.099655,-47.0
102022485,66.8260249,-47.0
102022485,66.8260249,-47.0
102022485,66.8260249,-47.0
102022485,66.8260249,-47.0
102022971,59.0218181,-46.5
102022971,59.0218181,-46.5
102022971,59.0218181,-46.5
102022971,59.0218181,-46.5
102022972,59.7415964,-46.5
102022972,59.7415964,-46.5
102022972,59.7415964,-46.5
102022972,59.7415964,-46.5
102022973,60.4613747,-46.5
102022973,60.4613747,-46.5
102022973,60.4613747,-46.5
102022973,60.4613747,-46.5
102022974,61.1811529,-46.5
102022974,61.1811529,-46.5
102022974,61.1811529,-46.5
102022974,61.1811529,-46.5
102022975,61.9009312,-46.5
102022975,61.9009312,-46.5
102022975,61.9009312,-46.5
102022975,61.9009312,-46.5
102022976,62.6207095,-46.5
102022976,62.6207095,-46.5
102022976,62.6207095,-46.5
102022976,62.6207095,-46.5
102022977,63.3404877,-46.5
102022977,63.3404877,-46.5
102022977,63.3404877,-46.5
102022977,63.3404877,-46.5
102022978,64.060266,-46.5
102022978,64.060266,-46.5
102022978,64.060266,-46.5
102022978,64.060266,-46.5
102022979,64.7800443,-46.50265
102022979,64.7800443,-46.50265
102022979,64.7800443,-46.50265
102022979,64.7800443,-46.50265
102022980,65.4998226,-46.5
102022980,65.4998226,-46.5
102022980,65.4998226,-46.5
102022980,65.4998226,-46.5
102022981,66.2196008,-46.5
102022981,66.2196008,-46.5
102022981,66.2196008,-46.5
102022981,66.2196008,-46.5
102022982,66.9393791,-46.5
102022982,66.9393791,-46.5
102022982,66.9393791,-46.5
102022982,66.9393791,-46.5
102023475,60.6355233,-46.0
102023475,60.6355233,-46.0
102023475,60.6355233,-46.0
102023475,60.6355233,-46.0
102023476,61.3488824,-46.0
102023476,61.3488824,-46.0
102023476,61.3488824,-46.0
102023476,61.3488824,-46.0
102023477,62.0622415,-46.0
102023477,62.0622415,-46.0
102023477,62.0622415,-46.0
102023477,62.0622415,-46.0
102023478,62.7756006,-46.0
102023478,62.7756006,-46.0
102023478,62.7756006,-46.0
102023478,62.7756006,-46.0
102023479,63.4889597,-46.0
102023479,63.4889597,-46.0
102023479,63.4889597,-46.0
